YelpCategory,SchemaType
Tattoo,TattooParlor
Halal,HalalDiet
Playgrounds,Playground
Vegan,VeganDiet
Vegetarian,VegetarianDiet
Automotive,AutomotiveBusiness
Electricians,Electrician
International,InternationalTrial
Courthouses,Courthouse
Jewelry,JewelryStore
Electronics,ElectronicsStore
Embassy,Embassy
Bowling,BowlingAlley
Kosher,KosherDiet
Pharmacy,Pharmacy
Parking,ParkingMap
Apartments,Apartment
Contractors,GeneralContractor
Restaurants,Restaurant
Osteopaths,Osteopathic
Campgrounds,Campground
Synagogues,Synagogue
Education,EducationEvent
Grocery,GroceryStore
Insurance,InsuranceAgency
Preschools,Preschool
Shopping,ShoppingCenter
